comment,sentiment
دکتر خوبی هستن ولی چون مریضشون زیاد هست اصلا برای بیمار وقت نمیزارن که دردشو بگه خودشون کارشون رو انجام میدن و اجازه نمیدن بیمار صحبت کنه که این خیلی کار درستی نیست میتونن تو یه روز تعداد بیمار کمتری ببینن و به همه وقت بزارن,unsatisfied
اگر وقت داشته_باشند وبتونند بیمار رو با حوصله ویزیت کنند عالی هستن,unsatisfied
افسردگی داشتم دارو مصرف میکنم . ولی نوبت دهی بسیار سخت است,unsatisfied
بد ، قیمت بالا,unsatisfied
باعرض سلام . . . من دوبار عمل داشتم یکی واریکوسل دوطرفه یکی هرنی یاهمون باد فتق . عمل اولی خوب بود دومی یه سال رد شده هنوزم خیلی درد دارم . ولی درکل پیشنهاد مبکنم نرین,unsatisfied
الرژی داشتم یبار رفتم پیششون دارو دادن خوب بود ولی گفتن بعد یک ماه بیا بعد یک ماه هرچه زنگ میزنم منشی نوبت نداده,unsatisfied
من پیش ایشون عمل کردم . توقع کار بسیار عالی از ایشون داشتم . اما متاسفانه سطح کارم حتی رو به متوسط نیست . روی بینیم برآمده بود خوب نتراشیده به نظر کج شده . افسرده شدم کارم شده غصه,unsatisfied
با سلام بر خورد منشی بسیار بد,unsatisfied
با سلام . خیلی بده که شماره مطب رو گذاشتید ولی ارزش قاعل نیستید و جواب نمیدید . سایر یکی راهش دور باشه نتونه حضوری بیاد . الانیک ماهه دارم زنگ میزنم بر نمی دارید . این بی احترامیه به مریضهاتون,unsatisfied
سرطان سینه درحال درمانم راضیم ازاقای دکترمردخوش برخوردوباتجربه ای هستن فقط درموردبیماری به بیماریه کم توضیح بده بهتره,unsatisfied
از ایشون راضی هستم ولی باز مریضی دخترم برگشته,unsatisfied
اگر با یک فلوشیپپستان هم همکاری داشتند عالی تر میشد,unsatisfied
دکتر خیلی خوبی هستن ایشون فقط نوبت گرفتن خیلی سخته ما از شهرستان میایم همدان و تصلا درک ندارن منشی هاشون,unsatisfied
ایشان دکتر واردی هستند ولی خیلی وقت برای بیمار نمیگذارند,unsatisfied
با سلام هر وقت زنگ میزنی کسی جواب گوی تلفن نیس پس بیخودی شماره تماس برا درمانکاه کوثر نزارین وقت مارو هم نگیرین با تشکر,unsatisfied
30 ثانیه بیشتر فرصت نداری . سریع نسختو مینویسه میره سراغ نفر بعدی,unsatisfied
از دکتر طاهری راضی نیستم .,unsatisfied
دکتر خوبی است ولی زمان مراجعه توضیحات لازم به مریض نمیدهد .,unsatisfied
"رفتار بسیار محترمانه و حرفه ای . تشخیص درست . دلسوز و به نگرانی های بیمار اهمیت میدن . مشکل فقط اینه که همزمان چند تفر داخل اتاق میرن, با اینکه اتاق معاینه ی جدا داره و جدا جدا هم با بیمار ها صحبت میکنن, اما باز از نظر حرفه ای درست نیست و حریم شخصی رعایت نمیشه و یکم آدم توی عجله میوفته و استرس زاست .",unsatisfied
ازنظروقت دهی معطلی خیلی طول کشیدبااینکه من ظهرتماس گرفتم گفت 5یا6بییاولی وقتی ویزیت شدم تازه بهم نوبت دادکه تا 11 شب طول کشیدولی خوددکترخیلی خوب بودباشخصیت بودولی منشی هاش اصلاخوب نبودن,unsatisfied
دکترخوبیه ولی منشی ایشون خیلی بی ادب بی نزاکت وبی شعوروبی فرهنگ هستن,unsatisfied
پزشک آنچنان خوبی هم نیست چندباری پیشش رفتم مشکل گوارش داشتم ولی داروهاش اثرنکرد . . .,unsatisfied
با سلام خدمت دوستان دیدگاه من با مراجعه به مطب ایشون جز استرس و اضطراب و پشیمانی هیچی نبود اصلا ارزشی برای مریصشون قاءل نیستن تو ساعت شلوغی به ما گفتن فقط یک ساعت دکترمشغوله استراحت هستن واسه مریض هم دو دقیقه وقت نمیزارن منشی دفترشون هم اصلا برخورد خوبی نداشتن جای تعجب داره که تو دفترش 5 نفر حضور دارن اما یک نفر جوابتو نمیده حیف پول ویزیت که دادم . . . . . .,unsatisfied
یکم طول میکشه درمان کردنش,unsatisfied
دکترخوبی هستند ولی بنظرم بیمار و توجیه نمیکنن خوب,unsatisfied
عالی فقط کاش جواب تلفن هم بدهند,unsatisfied
این منشی قسمت ام ارای مرکز تصویربرداری پزشکی اسیا خیلی بد اخلاقه,unsatisfied
آخه یعنی چه که بیماربایدمعرفی نامه داشته باشه شایدشرایط بیماریه جوریه که ترجیح میده دکترشاعوض کنه اونوقت چون معرفی ازدکترقبلی نمیاره پذیرش نمیشه,unsatisfied
آقای دکتر صدر حقیقی خوب اند ولی کمی بد قول هستن,unsatisfied
عمل بینی داشتم ولی مشگل تنفس دارم هنوز بعد از 9 سال بینیم وام داره,unsatisfied
عدم رضایت *** من نوبت داشتم منشی گفت دکتر فرهود خودش ویزیت میکنه رفتم اونجا دیدم فقط مطب به نام دکتر فرهوده تنها شخصی رو که اونجا نمیبینی دکتر فرهوده ***,unsatisfied
ایشان بسیار پزشک حاذق و محترم و مهربان هستند . من برای درمان مادرم به ایشان مراجعه کردم و کل مشکلات تقریبا حل گردید . فقط مشکل در نوبت دهی میباشد که تقاضا میکنم منشی ایشان جهت نوبت دهی از تلفن همراه استفاده کنند و همیشه در دسترس باشند . با تشکر,unsatisfied
اولین ماهمه ک پیش خانوم دکترمیرم . کمی عصبانی هستن ولی خب تعریف کارشون رو زیادشنیدم . خداکنه پیششون بارداربشم . دعام کنین توروخدا,unsatisfied
با تجربه هست وولی من سنگ شکن کردم دوباره سنگهام پیدا شدند,unsatisfied
